nom,description,note,capacity,tel,email,web,rue,code_postal,ville,departement,region,id,enregistrement_audio
Gîte Test 1 - Ruddy,Gîte de démonstration pour valider la synchronisation en temps réel de Ruddy (0650072384).,5.0,30,0650072384,ruddy.test@example.com,https://github.com/julienflorence,Rue de la Soutenance,31000,Toulouse,Haute-Garonne,Occitanie,gite-test-ruddy,
Gîte Test 2 - Younes,Gîte de démonstration pour valider la synchronisation en temps réel de Younes (0763430491).,5.0,28,0763430491,younes.test@example.com,https://github.com/julienflorence,Avenue du CRM,75001,Paris,Paris,Île-de-France,gite-test-younes,
Gîte Test 3 - Esline,Gîte de démonstration pour valider la synchronisation en temps réel d'Esline (0662560315).,5.0,24,0662560315,esline.test@example.com,https://github.com/julienflorence,Boulevard de l'Audio,69002,Lyon,Rhône,Auvergne-Rhône-Alpes,gite-test-esline,
Gîte de groupe d'Exception,Le domaine est à l’origine une ferme fortifiée du XVIème siècle encadrée de douves à la lisière de la forêt sarthoise. Il héberge également la table b,4.0,200,Non précisé,Non précisé,,,,Non précisée,,,,
Gîte L'Abbaye,"L'abbaye de St Evroult est à l'origine de la fondation de Canterbury. De l'abbaye ne subsiste que des ruines, un porche vouté et le logis abbatial amé",4.0,180,+33 2 33 28 07 00,resa@orne.fr,https://www.gites-de-france-orne.com/resa/etape1.php?NUM=G2045&INSTANCE=gites61&OPE=CDT61&ORI=CDT61&&&&&,L'Abbaye,61550,Saint-Evroult-Notre-Dame-du-Bois,Orne,Normandie,,
Domaine de Moulibez,Le domaine de Moulibez est un gîte de groupe qui accueille jusqu'à 180 personnes. Nous proposons des séjours en pension complète pour des classes déco,4.0,180,Non précisé,Non précisé,,,,Non précisée,,,,
Domaine de Toury -Gîte de Luxe - Maison principale,"Le Domaine de Toury, situé entre la Loire et l’Allier,  est un lieu d’accueil à la fois raffiné et convivial qui propose plusieurs hébergements à la l",4.0,150,+33 6 07 49 12 46,contact@domainedetoury.fr,http://domainedetoury.fr/,Le bourg,58240,Toury-sur-Jour,Nièvre,Bourgogne-Franche-Comté,,
Gîte de séjour La Rabouillère,Ensemble de bâtiments de ferme rénovés datant du XVIIè s. comprenant 4 gîtes de séjour au milieu de prairies bordées de haies vives au calme. La Rabou,4.0,150,+33 2 38 67 51 98,sarlsouron@gmail.com,https://www.auberge-ferme-du-tranchoir.com/,Ferme du Tranchoir,45500,Nevoy,Loiret,Centre-Val de Loire,,
Domaine de la Forêt,"En plein cœur d’une forêt, venez passer des moment uniques et magiques en famille ou entre amis aux Gites de la Forêt, un cadre parfait pour petits et",4.0,150,+33 7 82 20 90 24,domainedelaforet27120@gmail.com,https://www.domaine-de-la-foret.fr/,"1, avenue du château; Les Oriots",27120,Fontaine-sous-Jouy,Eure,Normandie,,
Gîte de groupe G44427 > L'Ecole,"Associé à la salle communale, ce gîte de groupes est parfait pour un week-end en Cotentin. Au coeur du village, cette ancienne école communale est auj",4.0,150,+33 6 58 36 52 87,le.ham@orange.fr,https://www.normandie-tourisme.fr/,Le Val,50310,Le Ham,Manche,Normandie,,
Gîte Le Fleuret,"Pour vos anniversaires, repas de famille, mariage etc .... -Gîte de 150 personnes et 40 couchages   Ouvert toute l'année.",4.0,150,+33 6 80 72 46 51,christellelecaignard@gmail.com,https://www.solutions-pro-tourisme-paysdelaloire.fr/,1994 rue des mimosas; Le Fleuret,72160,La Chapelle-Saint-Rémy,Sarthe,Pays de la Loire,,
Gîte d'Aveyron,Privatisez le plus grand gîte d'Aveyron. Vous trouverez tout le nécessaire sur place pour un séjour de 40 à 140 personnes.,4.0,140,Non précisé,Non précisé,,,,Non précisée,,,,
NO GO Gite de Loustalneve,,4.0,138,Non précisé,Non précisé,,,,Non précisée,,,,
Gîtes du Chauffour,"Le Chauffour vous accueille dans un cadre privilégié, au milieu du Parc Naturel des Ballons des Vosges, une ancienne colonie de vacances, restaurée en",4.0,120,+33 3 89 58 67 18,chauffour.events@gmail.com,,,68160,Sainte-Marie-aux-Mines,Haut-Rhin,Grand Est,,
La Ferme Gâtinaise,"Au cœur de la campagne gâtinaise, ce grand gîte est installé dans les bâtiments d'une ancienne ferme. Avec sa salle de 170 m² vous pouvez accueillir j",4.0,120,+33 2 38 87 31 13,maude.guenel@gmail.com,http://www.xn--la-ferme-gtinaise-ypb.fr/,Les Mollets,45210,La Selle-sur-le-Bied,Loiret,Centre-Val de Loire,,
Gîte de groupe du Fresne-Poret,"Gîte de groupe aménagé dans l'ancienne école communale au cœur des collines du Mortainais à 8km de Sourdeval. 1 chambre de 2 personnes, 1 chambre de 4",4.0,120,+33 2 33 59 66 04,mairiedufresneporet@gmail.com,https://www.normandie-tourisme.fr/,7 rue de l’Europe,50850,Le Fresne-Poret,Manche,Normandie,,
Les gîtes de Melody St Pierre,,4.0,120,Non précisé,Non précisé,,,,Non précisée,,,,
